"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","fecha","año","mes","est"
25,7.7,5.58,983,29,528.61,59.26,248.31,1.34,0.1,0.01,0.5,0.98,106.31,0.1,1.3,29.03,5.14,0.62,30,658,0.1,0.1,2.46,169,0.127,65000,0.05,0.05,1.639,0.05,95000,0.1,9800,104.7,410,11000,11000,30,42.18,135.24,688,0.98,2020-05-11,"2020","5","CS-01"
19,7.6,6.51,605,5.3,235.48,27.49,105.34,0.27,0.1,0.01,18.57,20.91,41.89,1.27,24,54.61,5.97,3.63,9,314,0.1,0.1,0.72,0.0025,0.114,5e-04,0.05,0.05,0.887,0.342,77000,0.1,5200,41.2,0.02,1500000,1500000,30,16.56,68.44,323,20.92,2020-06-03,"2020","6","RZ-05"
20,7.7,6.75,417,3.5,124.64,18.43,119.8,0.27,15.95,190,0.5,0.5,24.7,0.12,7.11,18,5.14,1.85,12,293,0.1,0.1,2.04,0.0025,0.169,5e-04,0.05,0.05,0.604,510,68000,0.1,0.0025,28.1,0.02,1500,1500,33,4.44,67.86,305,15.97,2020-06-03,"2020","6","RZ-04"
24,7.7,6.58,540,3.8,221.57,26.69,150.49,0.52,0.58,0.131,2.7,3.29,25.06,0.1,8.5,18,5.14,1.37,7,329,0.1,0.1,0.9335,0.0025,0.164,5e-04,0.05,0.05,0.525,0.253,84000,0.1,0.0025,40.6,0.02,46000,46000,37,7.49,96.13,329,4,2020-06-03,"2020","6","RZ-03"
20,7.2,5.5,771,31,252.73,75.11,158.89,0.58,0.62,0.02,0.5,6.47,21.35,0.1,58.68,95.94,12.83,2.21,194,469,0.1,0.26,0.805,3700,0.234,5e-04,0.05,0.05,7.078,1.723,77000,0.1,0.0025,81.8,440,460000,460000,37,22.29,120.51,663,7.11,2020-06-03,"2020","6","RZ-02"
23,6.8,5.01,1070,2.9,390.77,65.89,253.68,1.07,0.14,0.01,0.5,0.9,108.22,0.1,1.7,34.93,5.14,0.6,17,703,0.1,1.64,0.83,0.0025,0.217,2350,0.05,0.05,0.48,0.105,5e-04,0.1,8100,116.1,0.02,11000,11000,30,16.46,167.5,720,1.04,2020-06-08,"2020","6","RL-01"
27,7.8,5.73,1001,27,370.68,61.53,253.88,1.07,0.18,0.01,0.5,0.96,104.53,0.1,3.96,32.47,6.5,0.48,39,670,0.1,1.94,1.935,0.0025,0.19,5930,0.05,0.05,2.261,510,5e-04,0.1,124,103.8,270,24000,24000,31,2,84.24,709,1.14,2020-06-08,"2020","6","CS-01"
18,7.2,6.79,172,700,100.04,9.85,38.61,0.68,0.5,180,0.5,3.11,10,0.27,22.5,97.71,5.14,0.81,563,267,0.7,0.1,13.4614,2800,0.2904,3100,0.05,0.05,25.961,0.716,5e-04,0.1,271,10,560,4600000,4e+06,23,11.05,38.61,830,3.63,2020-07-30,"2020","7","RZ-05"
19,7.5,6.91,147,1500,104.55,10.56,71.69,0.64,5.38,0.03,0.52,6.29,10,0.1,21.36,111.1,5.2,1.01,1709,355,1,0.1,18.285,6800,0.7532,3360,0.05,610,66.032,1.264,5e-04,0.1,537,10,0.129,2400000,2400000,26,9.57,49.2,2064,11.7,2020-07-30,"2020","7","RZ-04"
19,7.3,5.63,169,1100,91.22,9.38,84.06,1.36,5.66,0.204,0.52,5.94,10,0.1,15.87,101.18,6.1,1.21,1400,360,1,0.1,9.5644,6100,0.4738,3420,0.05,0.05,58.611,1.306,5e-04,0.1,454,10,0.121,460000,240000,27,10.09,45.67,1760,11.8,2020-07-30,"2020","7","RZ-03"
22,7.2,3.1,324,390,126.07,20.56,97.41,0.6,5.55,0.193,2.25,5.59,22.72,0.16,8.76,48.11,5.14,1.32,362,316,0.1,0.1,9.5007,0.0025,0.2567,1880,0.05,0.05,23.74,0.367,5e-04,0.1,165,14.4,390,110000,110000,33,10.44,55.66,678,11.33,2020-07-30,"2020","7","RZ-02"
24,7.3,6.18,401,27,144.22,21.88,102.32,1.65,0.21,570,1.15,3.86,40.2,0.1,5.42,34.22,5.14,1.46,32,287,0.2,0.1,6.2784,4700,0.1922,1770,0.05,0.05,1.502,0.221,5e-04,0.1,112,30.3,0.02,2400000,2400000,27,10.7,62.33,319,4.13,2020-07-31,"2020","7","RL-01"
22,7.1,2.7,326,270,120.54,21.12,94.86,0.49,2.9,0.228,2.19,5.25,68.91,0.1,7.59,52.08,5.14,1.07,390,202,0.5,0.43,9.3962,3200,0.262,1770,0.05,0.05,14.465,0.312,5e-04,0.1,216,16.8,0.03,24000,24000,27,11.14,56.25,592,8.38,2020-07-31,"2020","7","CS-01"
19,6.7,7.46,226,350,82.41,12.87,80.72,0.35,5.82,0.194,0.92,2.42,16.69,0.28,8.46,57.54,5.14,0.46,273,223,0.3,0.1,10.41,0.0025,0.243,5e-04,0.05,0.05,21.516,0.323,5e-04,0.1,7500,10,590,1500000,750000,26,18.27,58.41,496,8.43,2020-08-04,"2020","8","RZ-05"
19,6.7,7.42,201,550,69.7,13.2,77.77,0.41,7.87,0.177,0.63,2.36,13.19,0.14,4.56,41.17,5.14,0.68,390,364,0.2,0.1,11.1,2500,0.247,5e-04,0.05,0.05,35.37,0.462,97000,0.1,139,10,610,75000,43000,30,18.7,52.72,754,10.41,2020-08-04,"2020","8","RZ-04"
20,6.4,7.17,206,700,73.8,9.66,90.93,0.52,6.69,0.126,0.5,2.94,10,0.1,6.39,58.53,5.14,0.34,825,199,0.4,0.1,22.76,5900,0.422,5e-04,0.05,0.05,46.836,0.669,80000,0.1,152,10,880,24000,24000,30,20.44,52.33,1024,9.76,2020-08-04,"2020","8","RZ-03"
22,6.1,5.42,229,850,81.49,12.35,99.97,0.48,3.93,0.228,1.09,2.83,10,0.1,4.68,42.16,5.64,0.85,223,453,0.1,0.1,11.7,2800,0.298,5e-04,0.05,0.05,12.428,0.271,5e-04,0.1,134,10,700,240000,240000,30,19.75,56.64,676,6.99,2020-08-04,"2020","8","RZ-02"
24,6.4,5.62,348,500,104.86,18.2,111.36,0.74,5.31,0.146,1.44,5.02,55.33,0.1,13.56,77.38,5.55,1.47,779,365,0.4,0.1,19.34,0.0025,0.645,62000,0.05,0.05,13.065,0.646,67000,0.1,117,19,0.115,110000,110000,31,12.96,80.16,1144,10.48,2020-08-05,"2020","8","RL-01"
