"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","fecha","año","mes","est"
14,7.1,9.21,553,14,227.25,28.91,147.89,0.48,0.18,510,6.77,10.22,41.1,0.41,12.93,67,5.14,2.01,64,326,0.3,0.7,2.395,0.0025,860,1260,0.05,0.05,2.107,0.489,5e-04,0.1,112,43,410,1100000,460000,24,3.91,88.6,390,10.45,2021-01-18,"2021","1","RZ-03"
19,7,3.2,758,13,294.92,49.58,150.44,0.73,0.1,0.01,4.36,7.17,66.33,0.54,17.58,55.17,5.14,1.69,22,468,0.1,0.86,2.275,0.0025,0.122,1870,0.05,0.05,0.533,0.185,5e-04,0.1,149,94.5,0.04,4.6e+07,4.6e+07,21,14.32,89.6,490,7.17,2021-01-19,"2021","1","RL-02"
18,8,7.01,1029,38,369.15,65.28,242.23,1.3,0.13,110,0.8,3.04,101.35,0.18,2.32,32.77,5.14,0.13,54,656,0.1,0.1,4.68,0.0025,0.241,2610,0.05,0.05,2.264,990,5e-04,0.1,189,119.8,460,460000,460000,23,2,97.2,710,3.18,2021-01-19,"2021","1","RL-01"
19,8.2,8.52,993,37,361.07,64.03,229.48,1.23,0.1,0.01,1.38,2.12,89.93,0.1,2.42,36.97,5.14,0.52,50,646,0.1,0.1,4.54,0.0025,0.24,2100,0.05,0.05,2.146,570,5e-04,0.1,175,115.6,480,1.1e+07,1.1e+07,26,2,86,696,2.22,2021-01-19,"2021","1","CS-01"
13,7.2,5.17,770,8.3,288.86,39.34,116.7,0.44,0.1,0.01,26.06,23.59,48.01,7.8,20.4,66.57,5.14,3.96,33,407,0.1,1.85,2.32,0.0025,930,5e-04,0.05,0.05,0.405,0.22,5e-04,0.1,0.0025,61.5,270,1.1e+08,1.1e+08,26,15.07,73.8,440,23.59,2021-02-08,"2021","2","RZ-05"
15,7,7.85,463,2.8,131.2,19.67,127.49,0.39,9.43,0.594,0.69,1.38,23.34,0.27,2.83,5,5.14,1.73,7,325,0.1,0.1,3.31,0.0025,780,5e-04,0.05,0.05,0.23,0.05,5e-04,0.1,0.0025,35.2,0.02,460000,240000,30,4.18,75.2,332,11.4,2021-02-08,"2021","2","RZ-04"
16,7,6.47,591,8.6,244.82,27.57,148.48,0.49,0.11,320,6.66,8.44,25.99,1.04,8.11,19.77,5.14,1.94,16,351,0.1,0.62,1.42,0.0025,860,5e-04,0.05,0.05,1.344,1.36,5e-04,0.1,0.0025,50.3,210,11000,4600,28,6.32,83.2,367,8.58,2021-02-08,"2021","2","RZ-03"
19,8,6.96,1034,31,371.68,65.37,238.9,1.42,0.12,0.01,0.5,0.5,106.55,0.1,1.96,31.82,5.14,0.57,32,686,0.1,0.72,5.9,2600,860,54000,0.05,0.05,1.735,770,5e-04,0.1,9300,117.1,280,1100,1100,22,2,141.6,718,0.12,2021-02-09,"2021","2","RL-01"
21,8.3,7.26,1002,40,365.11,64.75,239.29,1.35,0.1,0.01,0.5,1.95,103.63,0.1,2.46,28.63,5.14,0.55,63,663,0.1,0.86,7.4,2600,970,63000,0.05,0.05,2.588,640,5e-04,0.1,9200,116.5,280,11000,11000,26,2,138.4,726,1.95,2021-02-09,"2021","2","CS-01"
13,7.1,5.45,684,3.7,251.5,35.86,125.85,0.46,0.2,0.332,16.82,18.94,70.33,0.39,5.58,40.33,5.14,4.62,7,369,0.1,0.81,1.065,0.0025,730,93000,0.05,0.05,0.394,0.124,5e-04,0.1,0.0025,57.3,0.04,750,750,27,12.9,77.62,396,19.47,2021-03-25,"2021","3","RZ-05"
15,7.1,8.6,466,3.8,140.18,22.61,136.57,0.47,1.88,170,0.75,3.62,37.88,0.18,1.88,10.55,5.14,2.03,8,368,0.1,0.85,0.64,0.0025,760,5e-04,0.05,0.05,0.356,0.05,5e-04,0.1,0.0025,35.7,260,11000,11000,31,5.86,79,376,5.52,2021-03-25,"2021","3","RZ-04"
17,7,6.92,643,7.4,259.98,37.72,181.18,0.54,0.22,0.213,3.73,4.59,39.47,0.25,3.38,20.83,5.14,1.13,11,370,0.1,0.43,0.71,0.0025,0.12,5e-04,0.05,0.05,0.842,0.399,5e-04,0.1,0.0025,54.4,290,240,240,31,11.07,104.74,381,5.02,2021-03-25,"2021","3","RZ-03"
22,8.1,3.81,1090,17,382.12,66.9,254.89,1.25,0.16,0.01,0.5,1.43,110.02,0.1,1.74,39.62,5.14,0.51,19,687,0.1,0.1,2.415,0.0025,0.247,55000,0.05,0.05,1.307,710,5e-04,0.1,5400,128.4,270,4600,2400,27,2,141.29,706,1.59,2021-03-03,"2021","3","RL-01"
23,8.5,6.76,1040,36,377.12,64.17,237.7,1.32,0.1,0.01,0.5,1.72,108.67,0.1,2.83,43.52,19.19,0.5,67,672,0.1,0.1,4.06,2500,0.243,60000,0.05,0.05,2.719,770,5e-04,0.1,6800,124.4,230,110000,110000,31,2,137.31,739,1.72,2021-03-03,"2021","3","CS-01"
15,7.4,4.43,550,3.3,147.96,37.76,114.41,0.51,2.71,0.73,10.42,11.12,71.54,0.19,4.79,32,18.71,0.7,13,372,0.1,0.1,1.3,0.0025,770,68000,0.05,0.05,0.471,630,5e-04,0.1,148,56.5,250,2100,2100,26,12.74,82.17,385,14.56,2021-04-22,"2021","4","RZ-05"
16,7.4,7.48,467,6.2,138.87,24.84,124.51,0.76,2.69,410,3.32,3.8,39.6,0.13,3.21,11.96,8.03,1.13,7,339,0.1,0.28,1.78,0.0025,0.113,56000,0.05,0.05,0.522,0.05,5e-04,0.1,150,36.3,0.02,11000,11000,28,11.07,84.35,339,6.53,2021-04-22,"2021","4","RZ-04"
18,7.4,2.22,633,5.05,239.37,44.12,155.78,0.43,0.1,570,12.23,8.95,26.76,0.12,2.38,23.52,5.14,1.39,7,375,0.1,0.24,1.03,0.0025,0.154,1090,0.05,0.05,0.696,0.43,5e-04,0.1,140,54,0.02,43,43,31,14.88,96.82,375,9.01,2021-04-22,"2021","4","RZ-03"
22,8.2,3.37,1146,24,392.28,74.56,247.66,1.34,0.1,230,0.5,3.57,120.21,0.1,2.47,47.45,5.14,0.43,31,732,0.1,0.22,3.15,3600,0.203,3310,0.05,0.05,1.188,680,5e-04,0.1,206,127.5,220,23,23,24,2,141.57,763,3.59,2021-04-23,"2021","4","RL-01"
23,8.7,6.18,1082,60,375.25,72.41,246.68,1.63,0.1,170,0.5,3.92,118.18,0.1,4.58,54.75,8.32,0.46,94,700,0.1,0.15,6.02,2900,0.207,1770,0.05,0.05,3.317,700,5e-04,0.1,230,122.8,250,750,750,32,2,116.03,794,3.94,2021-04-23,"2021","4","CS-01"
19,6.7,6.29,514,2.9,153.65,32.49,108.77,0.32,1.08,0.246,2.15,3.96,65.89,0.27,5.97,47.78,10.51,1.52,8,365,0.1,0.1,0.224,0.0025,840,72000,0.05,0.05,0.424,980,5e-04,0.1,6700,53,280,23,23,23,13.91,70.88,373,5.29,2021-05-12,"2021","5","RZ-05"
19,6.9,6.69,447,4.4,126.92,22.25,114.21,0.31,9.51,0.03,0.64,4.13,39.09,0.15,3.99,24.65,5.14,1,15,329,0.1,0.57,0.77,0.0025,720,1440,0.05,0.05,0.61,0.05,5e-04,0.1,5700,34.1,0.02,4600,4600,26,8.08,72.86,344,13.67,2021-05-12,"2021","5","RZ-04"
22,6.9,5.51,710,4.2,247.3,60.87,156.36,0.39,0.15,260,5.82,9.2,30.34,0.2,3.27,31.44,13.81,1.68,10,448,0.1,0.1,0.268,0.0025,0.103,1690,0.05,0.05,0.71,0.569,5e-04,0.1,6100,73,0.02,1100,1100,31,10.62,97.02,458,9.38,2021-05-12,"2021","5","RZ-03"
23,8,6.2,1182,16,392.82,80.72,243.81,0.98,0.1,0.01,1.46,2.56,123.01,0.1,1.41,53.29,5.14,0.48,18,738,0.1,0.26,1.225,0.0025,0.37,2240,0.05,0.05,0.826,670,5e-04,0.1,101,138.5,0.02,93,43,30,5.55,141.57,756,2.56,2021-05-18,"2021","5","RL-01"
25,8.7,6.1,1101,55,362.91,74.87,230.03,1.14,0.1,0.01,1.05,3.09,114.85,0.11,3.27,63.67,5.14,0.44,86,706,0.1,0.46,3.82,0.0025,0.396,2440,0.05,0.05,3.579,780,5e-04,0.1,142,129.3,290,1100,1100,29,2,124.54,792,3.09,2021-05-18,"2021","5","CS-01"
20,6.7,6.28,451,4.4,126.86,30.08,102.88,0.27,2.96,0.184,0.5,2.39,42.65,0.15,2.73,25.21,14.35,1.41,7,323,0.1,0.38,0.83,0.0025,0.132,5e-04,0.05,0.05,0.464,510,5e-04,0.1,0.0025,41.4,0.02,150000,150000,27,10.19,85.14,323,5.53,2021-06-09,"2021","6","RZ-05"
21,7,6.91,356,13,123.38,18.81,108.51,0.43,2.71,480,0.5,1.8,26.8,0.11,2.77,23.52,7.64,0.77,18,243,0.1,0.68,1.61,0.0025,0.145,5e-04,0.05,0.05,0.94,750,5e-04,0.1,0.0025,23.3,0.02,1100000,460000,29,8.23,87.12,261,4.56,2021-06-09,"2021","6","RZ-04"
24,6.8,5.9,487,19,184.07,32.2,125.4,0.44,0.44,0.271,3.26,4.66,29.16,0.1,4.7,22.46,8.47,0.99,25,310,0.1,0.1,1.365,0.0025,0.142,59000,0.05,0.05,1.448,0.139,5e-04,0.1,3200,42,0.02,460000,460000,29,9.16,86.72,335,5.37,2021-06-09,"2021","6","RZ-03"
23,8.5,2.9,1179,19,382.35,80.1,239.74,1.25,0.1,0.01,1.34,3.2,133.64,0.1,2.03,45.37,5.14,0.46,13,747,0.1,0.38,1.295,0.0025,0.164,1680,0.05,0.05,0.963,550,5e-04,0.1,107,135.3,0.02,110000,2400,21,2,133.06,760,3.2,2021-06-04,"2021","6","RL-01"
22,8.6,5.77,1114,70,363.9,80.53,5.04,1.15,0.1,0.01,0.99,3.49,135.15,0.1,5.04,67.6,5.14,0.46,102,711,0.1,0.26,4.07,0.0025,0.176,2200,0.05,0.05,3.67,880,5e-04,0.1,141,130,360,110000,110000,23,2,126.72,813,3.49,2021-06-04,"2021","6","CS-01"
16,6.8,7.84,162,1500,62.27,7.35,59.92,0.44,5.01,910,0.5,4.95,30.36,0.1,8.22,136.69,10.88,1.09,1109.52,404.48,0.6,0.1,32.4,0.0025,0.378,5e-04,0.05,0.05,44.597,1.342,5e-04,0.1,374,10,890,110000,110000,22,13.56,41.98,1514,10.05,2021-07-12,"2021","7","RZ-05"
17,6.9,7.59,150,2200,60.39,11.41,73.3,0.42,5.21,940,0.5,8.91,26.53,0.1,14.28,252.21,8.53,1.04,2315.79,284.21,3,0.1,44.7,3000,0.992,5e-04,660,740,73.144,2.343,5e-04,0.1,672,10,0.177,110000,46000,24,15.15,29.7,2600,14.21,2021-07-12,"2021","7","RZ-04"
20,7.2,4.7,256,1600,73.26,16.03,108.79,0.57,3.25,0.592,0.5,11.3,37.86,0.1,25.44,414.95,13.71,1.29,2542.1,280.9,9.5,0.1,44.9,4900,0.872,5e-04,870,710,65.119,2.516,88000,0.1,652,14.1,0.321,460000,460000,25,17.3,53.46,2823,15.14,2021-07-12,"2021","7","RZ-03"
20,6.8,4.4,227,1000,80.78,17.44,74.27,0.52,3.63,0.224,0.81,3.96,33.48,0.1,3.6,79.62,5.14,1.02,800,319,0.1,0.1,30.9,0.0025,0.257,5e-04,0.287,0.05,34.231,0.569,5e-04,0.1,266,12.2,680,240000,240000,26,13.65,38.61,1119,7.81,2021-07-12,"2021","7","RZ-02"
22,6.6,5.23,486,750,115.33,32.39,138.46,1.22,4.93,0.672,4.78,8.62,91.31,0.1,17.04,142.92,6.06,1.21,1415,300,0.4,0.1,32.3,0.0025,0.84,5e-04,0.05,0.05,33.563,0.904,5e-04,0.1,316,42.3,0.116,110000,46000,22,16.83,61.18,1715,14.22,2021-07-12,"2021","7","RL-02"
23,6.5,4.75,432,850,124.74,27.44,131.09,1.27,5.19,0.152,3.61,8.04,68.41,0.1,14.04,145.17,6.11,1.21,1542.1,364.9,0.7,0.1,32.97,9300,0.86,5e-04,0.05,0.05,27.21,1.065,5e-04,0.1,346,37.2,0.123,15000,15000,29,12.34,38.41,1907,13.38,2021-07-12,"2021","7","RL-01"
21,6.2,2.33,376,850,123.75,27.02,115.58,0.71,3.72,0.312,1.8,8.68,65.16,0.1,9.96,178.2,38.65,1.7,1415.79,255.21,1.6,0.1,31.1,121,0.72,5e-04,0.05,0.05,33.396,0.824,5e-04,0.1,304,25.5,0.131,110000,110000,29,18.61,57.42,1671,12.71,2021-07-12,"2021","7","CS-01"
19,7.7,6.77,259,1100,83.72,13.06,94.77,0.48,3.39,0.329,2.4,4.34,21.78,0.1,4.59,91.25,5.61,0.3,964,425,0.4,0.1,27.5,0.0025,0.49,2000,0.05,0.05,44.964,1.085,5e-04,0.1,422,15.1,750,1.1e+08,1.1e+08,25,13.84,63.68,1389,8.06,2021-08-17,"2021","8","RZ-05"
20,7.8,7.15,248,290,83.53,11.53,96.16,0.39,2.71,0.12,1.43,3.26,10,0.1,8.04,65.68,7.5,0.33,203.33,323.67,0.5,0.1,34.375,3900,0.189,1700,0.05,0.05,15.711,0.333,5e-04,0.1,177,10.5,430,110000,110000,27,11.13,47.76,527,6.09,2021-08-17,"2021","8","RZ-04"
21,7.5,5.15,243,650,86.48,10.38,112.85,0.51,4.84,0.163,1.26,5.03,10,0.1,8.55,105.11,7.83,0.95,929.41,234.59,0.7,0.1,47,3500,0.494,1390,0.05,0.05,36.346,0.99,5e-04,0.1,271,11.3,0.101,110000,110000,28,11.97,56.71,1164,10.03,2021-08-17,"2021","8","RZ-03"
20,7.2,3.97,196,1200,77.03,9.52,81.46,0.55,4.08,0.2,1.37,4.97,10,0.1,4.71,88.4,9.28,0.57,860,364,0.1,0.1,34.75,3400,0.404,1340,0.05,0.05,48.658,0.634,5e-04,0.1,408,10,0.133,46000,46000,31,12.62,41.39,1224,9.25,2021-08-17,"2021","8","RZ-02"
22,7.3,5.12,393,750,16.83,24.02,109.27,1.14,4.36,0.369,3.54,8.05,54.56,0.1,8.01,127.4,11.48,1.38,1207.41,311.59,0.2,0.1,33,0.0025,0.712,1940,0.05,0.05,30.894,0.658,5e-04,0.1,354,35.8,0.191,390000,390000,20,16.83,74.62,1519,12.78,2021-08-17,"2021","8","RL-02"
23,7.4,6.13,382,550,121.35,23.02,108.48,0.89,4.26,0.26,3.14,6.74,54.79,0.1,10.23,121.11,5.14,1.06,564,685,0.2,0.1,39,2900,0.68,1660,0.05,0.05,23.537,0.596,5e-04,0.1,290,33.2,0.137,46000,46000,22,14.77,72.63,1249,11.26,2021-08-17,"2021","8","RL-01"
21,7.4,6.1,290,350,101.65,16.22,95.76,0.38,0.96,0.272,2.28,3.2,12.77,0.1,6.03,70.36,5.14,0.89,216.67,357.33,0.2,0.1,11.7,3000,0.206,1580,0.05,0.05,16.942,0.273,5e-04,0.1,172,16.6,460,460000,460000,23,14.31,54.13,574,4.43,2021-08-17,"2021","8","CS-01"
19,7,6.88,259,40,88.9,13.79,65.47,0.51,3.85,730,0.86,3.06,22.01,0.11,6.09,48.37,5.14,0.42,42,190,0.3,0.1,2.11,0.0025,0.121,5e-04,0.05,0.05,2.907,860,5e-04,0.1,4700,10.5,0.02,2300000,2300000,24,8.37,48.02,232,6.99,2021-09-29,"2021","9","RZ-05"
19,7.1,7.9,225,130,84.74,9.69,75.83,0.48,5.22,810,0.81,2.08,10,0.1,1.71,32.39,5.14,0.36,106,198,0.2,0.1,6.74,0.0025,0.104,5e-04,0.05,0.05,7.371,0.174,5e-04,0.1,7200,10,0.02,150000,150000,26,6.51,50.96,304,7.38,2021-09-29,"2021","9","RZ-04"
19,6.7,7.05,256,240,110.88,9.88,80.33,0.5,4.24,740,0.92,1.96,10,0.1,2.73,39.02,5.14,0.65,212.5,220.5,0.2,0.1,9.74,0.0025,0.117,5e-04,0.05,0.05,11.92,0.309,5e-04,0.1,9600,10,0.02,460000,460000,26,18.13,59,433,6.27,2021-09-29,"2021","9","RZ-03"
20,6.4,6.47,239,600,101.77,13.5,82.08,0.61,0.28,560,0.58,3.17,10.05,0.1,3.24,78.17,5.14,1.16,745,205,0.6,0.1,28.3,3700,0.213,5e-04,0.05,0.05,24.854,0.718,5e-04,0.1,216,10,580,110000,110000,30,12.55,47.43,950,3.51,2021-09-29,"2021","9","RZ-02"
22,7.2,3.83,443,250,125.33,30.72,97.13,0.61,1.29,0.472,4.63,7.43,54.79,0.1,23.34,86.68,5.14,1.35,451.51,320.49,0.2,0.1,29.25,8700,0.183,5e-04,0.05,0.05,13.425,0.354,5e-04,0.1,158,40.8,790,46000,24000,22,16,66.84,772,9.19,2021-09-07,"2021","9","RL-02"
22,7.1,2.14,400,250,112.96,23.64,97.33,0.57,1.4,0.405,3.08,5.6,55.67,0.1,24.36,73.1,5.14,1.07,443.75,236.25,0.1,0.1,5.88,0.0025,0.201,5e-04,0.05,0.05,13.132,0.324,5e-04,0.1,137,35.4,670,110000,110000,23,11.53,62.72,680,7.41,2021-09-07,"2021","9","RL-01"
20,6.9,4.2,188,650,86.62,13.16,64.49,0.37,2.12,0.155,2.06,3.54,39.12,0.1,7.86,79.54,5.14,0.9,465.52,283.48,0.3,0.1,7.76,0.0025,0.145,5e-04,0.05,0.05,22.306,0.319,5e-04,0.1,175,10,0.06,46000,24000,27,12.83,30.58,749,5.82,2021-09-07,"2021","9","CS-01"
18,7.2,4.07,293,5.6,114.75,15.4,55.85,0.32,6.7,0.488,2.13,3.69,19.4,0.15,3.55,13.77,5.14,0.66,8,212,0.1,0.1,0.655,3000,0.105,5e-04,0.05,0.05,0.859,710,5e-04,0.1,0.0025,17.6,0.02,1100,460,30,5.42,54.37,220,10.88,2021-10-19,"2021","10","RZ-05"
18,7.3,4.25,241,28,105.2,11.07,70.8,0.33,0.89,0.05,1.21,2.65,10,0.1,5.61,27.16,7.92,0.32,35,189,0.2,0.16,1.515,0.0025,0.116,5e-04,0.05,0.05,2.99,0.126,5e-04,0.1,2700,12.1,650,460000,240000,34,5.61,53.58,224,3.59,2021-10-19,"2021","10","RZ-04"
20,7.2,4.31,278,38,116.72,12.72,83.58,0.35,6.28,0.517,1.21,2.36,10,0.1,3.2,16.7,7.34,0.34,39,230,0.2,0.1,2.06,0.0025,0.114,5e-04,0.05,0.05,2.905,920,5e-04,0.1,3600,12.3,0.02,110000,110000,35,12.15,55.16,269,9.16,2021-10-19,"2021","10","RZ-03"
22,7.1,4.51,329,65,140.66,15.98,105.02,0.3,6.28,0.04,1.38,2.71,10,0.1,5.67,23.02,5.14,0.83,96,229,0.3,0.14,2.67,0.0025,0.14,5e-04,0.05,0.05,5.196,0.217,5e-04,0.1,6500,19.2,0.02,46000,46000,37,6.73,63.04,325,9.03,2021-10-19,"2021","10","RZ-02"
22,7.7,3.3,469,90,149.72,30.3,102.66,0.7,7.08,0.01,1.5,4.15,56.75,0.11,7.38,43.59,5.14,1.2,202.13,310.87,0.2,0.1,5.9,136,0.241,56000,0.05,0.05,5.366,0.237,5e-04,0.1,9400,50.6,480,15000,15000,27,9.16,72.89,513,11.23,2021-10-21,"2021","10","RL-02"
22,7.9,3.6,487,95,148.83,29.97,103.05,0.59,6.79,0.01,2.19,2.83,55.13,0.13,6.99,39.03,5.14,1.27,192.5,314.5,0.2,0.12,6.5,124,0.23,55000,0.05,0.05,6.044,0.244,5e-04,0.1,9200,49.3,0.123,11000,11000,23,7.76,73.28,507,9.62,2021-10-21,"2021","10","RL-01"
22,7.1,1.7,360,18,145.58,20.01,86.53,0.38,0.7,0.469,2.77,3.34,10,0.2,3.86,21.15,5.14,0.64,23,207,0.1,0.1,0.915,3000,0.169,5e-04,0.05,0.05,1.379,0.241,5e-04,0.1,0.0025,21.2,0.02,110000,110000,27,7.57,63.04,230,4.51,2021-10-21,"2021","10","CS-01"
15,6.9,7.37,425,2.3,117.9,28.22,87.45,0.33,0.91,0.29,1.5,2.48,35.57,0.1,2.42,12.25,5.14,0.42,7,277,0.1,0.1,0.223,0.0025,0.124,5e-04,0.05,680,0.305,0.5,5e-04,0.1,2900,38.6,0.02,15000,9300,24,11.37,66.26,277,3.68,2021-11-30,"2021","11","RZ-05"
15,7,8.18,352,8.4,144.5,17.77,96.21,0.33,1.43,680,1.56,2.54,21.34,0.1,3.09,19.51,5.14,0.3,7,231,0.1,0.1,0.171,2800,0.131,5e-04,0.05,0.05,0.989,0.05,5e-04,0.1,0.0025,21.6,0.02,46000,24000,27,10.62,66.05,231,4.04,2021-11-30,"2021","11","RZ-04"
15,6.7,6.72,406,2.4,149.23,18.99,110.89,0.38,1.24,0.218,2.08,2.54,23.9,0.1,2.79,15.22,5.14,0.48,9,261,0.1,0.1,0.386,0.0025,0.132,5e-04,0.05,0.05,0.316,0.05,5e-04,0.1,0.0025,26.9,0.02,11000,11000,25,12.03,74.34,270,4,2021-11-30,"2021","11","RZ-03"
18,6.8,5.17,665,18,213.15,65.22,131.48,0.35,1.24,0.181,4.96,6.52,25.77,0.1,2.45,28.29,5.14,0.84,24,374,0.1,0.1,1.12,0.0025,0.148,5e-04,0.05,0.05,1.202,0.194,5e-04,0.1,4100,61,0.02,46000,46000,29,15.04,88.48,398,7.94,2021-11-30,"2021","11","RZ-02"
18,7.8,6.51,494,65,148.73,29.48,91.32,0.5,0.79,0.02,2.71,3.86,67.2,0.1,4.05,41.09,5.14,1.21,133,312,0.1,0.1,7.22,104,0.206,5e-04,0.05,0.05,3.999,0.122,5e-04,0.1,8200,53.3,1.557,15000,9300,18,10.34,73.33,445,6.59,2021-11-24,"2021","11","RL-02"
19,7.7,6.36,493,65,150.21,28.99,92.34,0.57,1.36,120,6.34,14.65,64.77,0.1,4.23,31.96,5.14,1.1,101,348,0.1,0.12,7.6,114,0.189,5e-04,0.05,0.05,4.093,0.131,5e-04,0.1,8100,52.2,310,93000,43000,20,13.82,70.5,449,21,2021-11-24,"2021","11","RL-01"
20,7.3,2.59,795,6.8,289.63,51.24,146.97,0.82,0.1,0.01,4.33,5.42,70.6,0.3,10.92,42.73,5.14,0.93,11,507,0.1,3.34,0.84,160,0.178,5e-04,0.05,0.05,0.509,0.259,5e-04,0.1,5100,92.4,280,460000,460000,25,22.37,99.99,518,9.75,2021-11-24,"2021","11","CS-01"
15,7.3,3.97,449,1.9,127.21,23.41,101.98,0.3,0.1,0.142,1.44,3.23,34.29,0.16,2.15,27.71,5.14,0.51,7,310,0.1,0.12,0.1666,0.0025,474,5e-04,0.05,0.05,0.244,0.5,5e-04,0.1,0.0025,43.3,340,460,460,23,8.88,66.92,310,3.37,2021-12-13,"2021","12","RZ-05"
14,6.1,4.78,368,5.75,146.12,21.22,112.87,0.6,0.58,910,1.56,3.81,19.64,0.13,1.85,23.8,5.14,0.3,7,248,0.1,0.1,0.1494,0.0025,470,5e-04,0.05,0.05,0.713,0.05,5e-04,0.1,0.0025,26.9,0.02,460,460,29,6.92,64.75,255,4.48,2021-12-13,"2021","12","RZ-04"
16,7.6,3.21,425,4.1,178.3,20.79,102.97,0.55,1.16,870,4.84,46.55,21.86,0.1,2.55,21.7,5.14,0.55,13,274,0.1,0.1,0.3949,0.0025,448,5e-04,0.05,0.05,0.407,0.05,5e-04,0.1,0.0025,30,0.02,4300,4300,31,7.39,77.42,287,47.8,2021-12-13,"2021","12","RZ-03"
19,7.7,6.21,680,11.5,245.32,70.47,159.41,0.56,0.18,0.01,4.84,22.96,25.49,0.24,11.79,70.56,5.14,1.59,22.45,433.55,0.1,0.76,0.63,0.0025,810,5e-04,0.05,0.05,0.91,0.519,5e-04,0.1,0.0025,75.1,0.02,240000,240000,29,11.97,87.32,456,23.14,2021-12-13,"2021","12","RZ-02"
19,7.9,5.77,509,50,153.66,29.92,94.38,0.69,1.11,0.01,0.92,1.96,49.07,0.1,3.11,30.32,5.14,1.29,79,348,0.1,0.1,7.48,7700,0.149,5e-04,0.05,0.05,2.997,920,5e-04,0.1,7900,52.5,0.02,46000,24000,25,5.36,72.32,427,3.07,2021-12-01,"2021","12","RL-02"
19,8,5.21,497,45,152.48,29.29,97.64,0.53,1.11,0.01,1.61,2.02,42.36,0.1,3.14,26.03,5.14,1.14,72,329,0.1,0.39,4.84,7000,0.173,5e-04,0.05,0.05,2.789,970,5e-04,0.1,6600,51,0.02,7500,4300,25,8.84,70.9,401,3.13,2021-12-01,"2021","12","RL-01"
21,7.9,3,862,29,287.63,56.43,161.03,0.9,0.1,0.01,1.04,2.65,95.61,0.1,2.52,22.36,5.14,0.64,13,555,0.1,0.1,2.29,223,0.243,5e-04,0.05,0.05,1.58,610,5e-04,0.1,8500,103.6,0.02,46000,46000,27,9.59,99.18,568,2.65,2021-12-01,"2021","12","CS-01"
14,7.8,7.47,448,1.3,111.82,27.19,99.97,0.74,6.9,0.17,0.57,2.96,30.5,0.26,2.12,44.254,5.14,0.76,7,326,0.1,0.1,762,0.0025,366,71000,0.05,0.05,980,0.05,5e-04,0.1,4400,43.6,0.02,930,930,26,10.15,67.66,326,10.03,2022-01-19,"2022","1","RZ-05"
13,8,8.38,416,2.3,135.79,21.84,116.66,0.48,5.75,560,0.5,2.27,22.11,0.24,1.47,8.985,5.14,0.45,8,288,0.1,0.1,0.139,0.0025,390,63000,0.05,0.05,0.246,0.05,5e-04,0.1,3700,32.3,0.02,2400,2400,27,9.15,74.63,296,8.08,2022-01-19,"2022","1","RZ-04"
14,8,5.88,664,7.1,266.94,36.4,186.22,0.56,0.1,590,6.76,10.12,50.47,0.93,17.46,32.362,5.14,1.9,24,402,0.1,0.1,0.309,3700,770,95000,0.05,0.05,1.309,7.238,5e-04,0.1,5300,53.1,0.02,930000,930000,25,18.31,122.58,426,10.28,2022-01-19,"2022","1","RZ-03"
16,8.1,8.19,1132,9.9,366.41,139.81,230.94,0.58,0.28,0.369,2.9,7.56,10,0.29,12.69,83.485,5.16,2.65,28,709,0.1,0.1,0.154,5700,890,5e-04,0.05,0.05,0.504,0.342,5e-04,0.1,5500,125,0.02,4300,2300,27,15.42,131.14,737,8.21,2022-01-19,"2022","1","RZ-02"
18,8.4,9.9,654,17,185.95,37.46,149.65,0.9,1.88,0.491,1.65,4.04,89.86,0.17,7.29,36.349,5.14,1.86,38,410,0.1,0.1,1.46,7600,950,5e-04,0.05,0.05,0.788,670,5e-04,0.1,7600,70.9,0.02,21000,21000,20,3.98,90.94,448,6.41,2022-01-06,"2022","1","RL-02"
19,7.7,4.82,685,11,189.57,41.99,157.6,0.88,2.64,0.416,1.76,3.13,84.47,0.21,3.52,19.84,5.14,1.44,16,433,0.1,0.1,0.96,7900,940,5e-04,0.05,0.05,0.529,0.05,5e-04,0.1,7800,76,580,930,930,22,6.17,92.54,449,6.19,2022-01-06,"2022","1","RL-01"
21,8,3.9,882,23,270.5,59.69,184.23,1.36,0.2,530,1.76,3.69,85.77,0.16,2.33,28.402,5.14,0.62,14,556,0.1,0.15,1.95,134,0.127,5e-04,0.05,0.05,1.316,520,5e-04,0.1,9600,106,0.02,24000,24000,24,5.37,95.92,570,3.94,2022-01-06,"2022","1","CS-01"
