"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","Materia flotante","fecha","año","mes","est"
24,7.18,,,,,,,,0.59,120,,30.99,,,216,434.6,18.31,1.88,115,855,0.7,,1.86,159,0.005,0.401,0.05,580,1.402,0.164,5e-04,0.515,0.0025,124,3.46,2400000,1300000,,,,970,31.592,,2009-02-11,"2009","2","RS-07"
24,7.26,0.6,,,,,,,0.27,0.022,,15.5,,,70,242.8,16.54,1.55,157,657,4,,2.281,215,0.005,0.682,0.05,890,1.722,0.169,5e-04,0.1,0.0025,95.5,3.03,1500000,1200000,,,,814,15.77,,2009-02-11,"2009","2","RS-08"
25,7,0,,,,,,,0.1,130,,13.08,,,13.3,90.6,6.02,0.73,12,488,0.1,,0.01,125,0.005,1700,0.05,0.05,0.227,0.179,5e-04,0.1,0.0025,64.5,2.67,7500,4300,,,,500,13.093,,2009-02-11,"2009","2","RS-09"
25,7.43,7.4,,,,,,,0.41,0.69,,2.75,,,21.4,79.4,2.12,0.71,10,484,0.1,,0.01,164,0.005,3600,0.05,0.05,0.154,0.142,5e-04,0.1,0.0025,59.9,1.955,6400,3800,,,,494,3.85,,2009-02-11,"2009","2","RS-RS-010"
17,7.4,0,,,,,,,0.561,0.022,,33.04,,,196,400,30.76,0.79,78,666,0.1,,1.066,120,0.005,5e-04,0.05,0.05,0.542,0.235,5e-04,0.239,0.0025,130.2,0.08,210000,150000,,,,744,33.601,,2009-02-11,"2009","2","AA-0RS-01"
19,7.35,0,,,,,,,0.534,0.022,,31.36,,,122.5,313,2.12,0.4,79,918,0.5,,1.17,125,0.005,5e-04,0.05,0.05,0.676,0.361,5e-04,0.1,0.0025,128,860,4600000,2400000,,,,997,31.894,,2009-02-11,"2009","2","AA-0RS-02"
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2009-02-11,"2009","2","RZ-0RS-01"
23,8.01,1.61,782,200,351.8,4.7,163.6,0.65,0.42,0.022,1.29,2.58,61.06,5.16,8.4,49,7.06,0.33,71,575,0.1,620,4.691,136,0.005,5e-04,0.05,0.05,4.435,0.117,5e-04,0.1,0.0025,68.9,810,3,3,25,9.9,,646,3,,2009-04-20,"2009","4","RS-01"
22,7.37,0,845,4,351.8,5.1,145.4,0.97,0.1,0.022,2.58,4.5,61.55,0.019,7.62,39.2,7.87,1.07,15,568,0.1,1.61,0.01,101,0.005,5e-04,0.05,0.05,0.173,0.151,5e-04,0.1,0.0025,75,0.103,46000,46000,28,9.9,,583,4.5,,2009-04-20,"2009","4","RS-02"
25,6.88,0.8,1042,14,458,61.76,194.9,0.932,0.1,0.022,1.17,4.7,,0.315,13.38,59.4,15.64,1.13,40,693,0.5,,0.343,122,0.005,5e-04,0.05,0.05,0.16,0.179,5e-04,0.1,0.0025,101.4,540,4300,2300,,19.6,,733,4.7,,2009-04-20,"2009","4","RS-03"
