"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","Materia flotante","fecha","año","mes","est"
21.9,8.1,6.15,783,6.3,219,55,25,0.72,4.19,0.457,1.97,9.54,63.27,0.587,15.72,69.74,8.37,3.71,8,545,0.1,0.1,0.01,0.0025,0.005,5e-04,0.05,0.05,0.398,0.18,5e-04,0.1,0.0025,80.1,0.143,240000,15000,30,,,553,14.187,0,2010-10-26,"2010","10","RS-06"
21.7,7.49,0.05,1215,120,368,107.67,178,1.03,0.32,0.022,0.5,0.5,89.21,9.22,240,469,44.77,4.99,155,806,0.5,2.4,1.436,0.0025,0.005,220,0.135,0.133,1.064,0.134,1200,0.106,0.0025,121.718,0.414,2.4e+07,2.4e+07,16,,,961,0.32,0,2010-10-26,"2010","10","RS-07"
21,7.52,2.61,912,35,378,70.82,163,1.18,0.1,120,4.52,12.73,76.43,3.33,52.2,124.38,7.52,4.15,34,639,0.1,1,0.634,0.0025,0.005,195,630,0.05,0.528,0.143,69000,0.1,0.0025,93.126,0.154,4600000,4600000,20,,,673,12.742,0,2010-10-26,"2010","10","RS-08"
26.5,7.63,3.54,537,4.7,206,34,129,0.79,0.1,180,1.98,3.68,38.19,0.74,6.24,35.65,8.37,1.67,3,377,0.1,0.1,0.01,0.0025,0.005,5e-04,0.05,0.05,0.398,0.239,5e-04,0.1,0.0025,48.408,140,230,40,28,,,380,3.698,0,2010-10-26,"2010","10","RS-09"
27.6,8.64,10.1,471,2.6,159,31,104,0.76,3.21,0.03,0.5,0.5,40.48,0.24,2.82,28.33,5.46,1.32,1,367,0.1,0.2,0.01,0.0025,0.005,5e-04,0.05,0.05,0.188,240,5e-04,0.1,0.0025,42.575,230,230,90,33,,,368,3.24,0,2010-10-26,"2010","10","RS-RS-010"
24.5,7.58,0,1281,26,481,175.15,235,2.77,0.1,440,11.84,29.61,125.21,5.16,90,287.5,8.26,5.2,30,1042,0.1,4.2,0.58,0.0025,0.005,5e-04,0.05,0.05,1.208,0.543,5e-04,0.1,0.0025,198.5,0.236,1.1e+07,280000,30,,,1072,29.654,1,2010-10-26,"2010","10","AA-0RS-01"
22.7,8.08,0.02,1605,28,499,82.31,278,1.04,0.1,0.022,12.83,38.82,77.86,10.21,146.1,284.7,27.25,2.7,115,796,0.1,1,0.01,0.0025,0.005,5e-04,0.05,0.05,0.446,0.336,5e-04,0.1,0.0025,120.1,0.109,2.4e+07,9300000,29,,,911,38.82,1,2010-10-26,"2010","10","AA-0RS-02"
19.3,7.01,1.35,329,8.5,151,14.3,118,0.27,0.1,0.022,0.66,3.95,13.6,0.576,10.23,36.39,8.37,0.56,26,234,0.1,1,0.01,0.0025,0.005,5e-04,0.05,0.05,0.571,0.406,5e-04,0.1,0.0025,20.6,680,9300000,2400000,18,,,260,3.95,1,2010-10-26,"2010","10","RZ-0RS-01"
15.4,6.97,0.67,792,19,264,62,229,0.8027,0.1,0.022,1.32,4.28,81.41,0.291,21.24,81.063,8,1.42,9,572,0.1,3.8,770,0.0025,0.005,5e-04,0.05,0.05,0.164,0.111,80000,0.1,0.0025,69.7,0.02,93000,23000,5,,,581,4.28,0,2010-11-17,"2010","11","RS-01"
13.6,6.9,2.42,602,5.5,237,41,192,0.6058,0.1,0.022,0.5,1.64,50.75,0.189,1.47,18.09,13.26,0.99,17,429,0.1,0.1,0.2122,0.0025,0.005,5e-04,0.05,0.05,0.367,0.101,94000,0.1,0.0025,55.4,0.02,2400,230,7,,,446,1.64,0,2010-11-17,"2010","11","RS-02"
15,7.47,5.89,707,16,276,57,188,0.6221,0.27,0.022,0.5,2.63,60.73,0.22,7.74,58.818,8,1.23,31,514,0.1,0.4,0.5173,0.0025,0.005,5e-04,0.05,0.05,0.495,910,61000,0.1,0.0025,80.9,0.02,24000,9300,11.5,,,545,2.9,1,2010-11-17,"2010","11","RS-03"
15.8,7.6,0.65,1235,55,516,90,235,1.212,0.25,0.022,4.93,24.35,75.6,4.88,40.44,116.97,7.37,6.86,13,833,0.1,9,0.1048,0.0025,0.005,5e-04,0.05,0.05,0.202,0.396,91000,0.1,0.0025,131,0.02,4600000,1500000,18,,,846,24.6,0,2010-11-17,"2010","11","RS-04"
17.4,7.71,0.94,1122,7.4,470,83,235,0.8542,0.84,0.98,0.5,21.38,50.27,0.495,11.77,121.26,8.37,5.71,25,744,0.1,0.1,0.11,0.0025,0.005,5e-04,0.05,0.05,0.196,0.387,99000,0.1,0.0025,124.9,0.02,930000,90000,22,,,769,23.2,0,2010-11-17,"2010","11","RS-05"
18,8.21,8.04,1154,5.4,376,83,225,1.1069,3.17,0.56,0.5,13.49,71.38,0.417,18.84,49.061,8.37,4.42,13,762,0.1,0.1,735,0.0025,0.005,5e-04,0.05,0.05,0.164,0.185,1030,0.1,0.0025,120,0.02,43000,43000,27.5,,,775,17.22,0,2010-11-17,"2010","11","RS-06"
15.4,7.8,7.52,861,20,307,60,178,0.9791,1.82,0.491,4.61,14.48,60.94,1.53,28.2,99.405,8.37,4.37,54,580,0.5,4.76,0.3581,8700,0.005,5e-04,0.05,0.05,0.351,0.244,59000,0.1,0.0025,89.1,0.02,930000,930000,14.5,,,634,16.791,1,2010-11-17,"2010","11","RS-07"
19.5,7.58,2.15,955,35,324,74,167,1.2332,0.1,510,15.46,23.34,75.567,5.42,55.44,164.97,8.37,3.32,53,653,0.1,0.1,0.5629,140,0.005,5e-04,0.05,0.05,0.5,0.17,69000,0.1,0.0025,108.6,0.109,1.1e+07,150000,21.3,,,706,23.391,0,2010-11-17,"2010","11","RS-08"
23.2,7.52,3.05,564,11,196,38,119,0.6778,1.4,0.022,1.97,8.55,43.01,1.06,6.66,27.14,8.37,1.68,13,384,0.1,0.1,490,5400,0.005,5e-04,0.05,0.05,0.148,0.15,1040,0.1,0.0025,56.5,0.02,4300,4300,25.6,,,397,9.95,0,2010-11-17,"2010","11","RS-09"
24.5,8.16,8.38,518,9,163,35,114,0.6969,3.15,0.591,0.99,5.26,34.2,0.167,4.66,24.88,8.37,1.53,25,386,0.1,0.1,0.1348,117,0.005,5e-04,0.05,0.05,0.212,0.155,5e-04,0.1,0.0025,53.1,0.02,2400,2400,30,,,411,9.001,0,2010-11-17,"2010","11","RS-RS-010"
15.4,7.46,0.8,1434,170,529,103,257,1.3115,0.4,0.022,1.32,45.4,101.96,10.77,287.4,457.27,38.03,5.33,124,935,0.3,4,2.8743,0.0025,0.005,5e-04,0.224,0.05,0.41,0.254,1460,0.1,0.0025,154.1,0.122,4.6e+07,4.6e+07,7,,,1059,45.8,1,2010-11-17,"2010","11","AA-0RS-01"
15.6,7.6,0.16,1385,80,645,102,278,1.4357,0.1,260,0.5,35.2,64.67,5.77,74.2,131.02,8.24,4.77,22,944,0.1,8,0.2736,0.0025,0.005,5e-04,0.05,0.05,0.287,0.48,1280,0.1,0.0025,148.3,0.02,430000,90000,20,,,966,35.226,1,2010-11-17,"2010","11","AA-0RS-02"
16.1,7.14,0.27,565,13,252,33,157,0.8345,0.1,0.022,4.28,15.46,48.09,0.899,49.4,69.745,8.37,0.32,2,417,0.1,8.2,637,0.0025,0.005,5e-04,0.05,0.05,0.298,0.17,1040,0.1,0.0025,52,0.02,2400000,150000,5.8,,,419,15.46,1,2010-11-17,"2010","11","RZ-0RS-01"
21.8,8.22,3.01,825.6,60,308.9,46.9,216.21,1,0.29,0.022,0.5,3.02,74.32,0.019,4.5,38.65,8.37,0.9,47,598,0.1,0.39,2.5677,192,0.1505,5e-04,0.05,0.05,1.682,740,69000,0.1,0.0025,70.29,0.02,21000,7500,21.5,,,645,3.31,1,2011-03-01,"2011","3","RS-01"
20.7,7.28,0.87,879,3.4,326.24,51.59,223.33,1.05,0.1,0.022,0.5,2.06,89.31,0.255,1.26,32.34,8.37,1.09,1,551,0.1,0.1,0.2468,130,0.1155,5e-04,0.05,0.05,0.197,0.143,5e-04,0.1,117,73.24,0.02,9300,9300,29.2,,,552,2.06,0,2011-03-01,"2011","3","RS-02"
22.7,7.28,2.3,1145,3.2,353,89.87,263.29,1,0.52,0.08,0.5,3.02,136.89,0.259,1.26,37.86,8.37,1.27,5,761,0.1,0.1,0.1862,119,989,5e-04,0.05,0.05,0.104,0.159,5e-04,0.1,0.0025,117.98,0.02,2400,2400,30.4,,,766,3.62,1,2011-03-01,"2011","3","RS-03"
20.5,7.55,0,1304,95,514.14,90.35,273.78,1.03,0.17,0.022,14.17,20.47,116.81,3.616,38.62,66.81,7.01,4.79,7,864,0.1,20.99,0.3386,105,725,5e-04,0.05,0.05,0.148,0.273,5e-04,0.1,119,126.05,0.02,240000,240000,31.4,,,871,20.64,1,2011-03-01,"2011","3","RS-04"
20.6,7.6,2.31,1247,5.5,427.4,88.44,273.78,1.03,0.42,0.04,9.65,15.66,114.58,1.99,8.61,58.37,8.37,3.61,14,834,0.1,0.1,0.3038,112,781,5e-04,0.05,0.05,0.173,0.216,1080,0.1,0.0025,104.58,0.02,43000,43000,31.7,,,848,16.12,1,2011-03-01,"2011","3","RS-05"
21.9,8.1,7.38,1246,5.4,439.52,91.55,263.1,1.22,1.68,0.68,9.34,14.91,112.92,0.61,9.09,60.73,5.04,4.48,16,833,0.1,0.1,0.1148,114,730,5e-04,0.05,0.05,0.12,0.219,5e-04,0.1,6700,104.36,0.02,21000,21000,30.6,,,849,17.27,0,2011-03-01,"2011","3","RS-06"
19.8,8.7,5.6,1186,60,386.85,87.14,230.46,1.16,1.8,0.54,10.46,18.62,123.93,2.23,34.08,92.79,8.37,3.68,147,725,0.4,0.1,2.2816,111.1,0.3093,5e-04,0.05,0.05,2.424,0.538,61000,0.1,170,115.45,890,2400000,2400000,23.46,,,872,20.96,0,2011-03-01,"2011","3","RS-07"
23.4,7.73,2.84,1223,170,405.25,97.1,232.04,1.08,0.42,0.05,17.82,23.57,123.54,2.7,54,154.33,14.61,3.84,378,664,3,0.39,12.0924,113,0.2722,1270,0.05,0.05,5.871,1.07,67000,0.13,240,119.53,0.148,210000,210000,32.93,,,1042,24.04,0,2011-03-01,"2011","3","RS-08"
22.2,7.31,3.132,808.6,23,278.59,54.41,156.27,0.92,0.5,0.022,7.73,11.94,69.23,0.78,9.6,33.74,6.29,3.02,11,540,0.1,0.79,0.8457,8100,0.2077,5e-04,0.05,0.05,0.194,0.243,56000,0.1,0.0025,78.91,0.02,230,90,33.7,,,551,12.44,0,2011-03-01,"2011","3","RS-09"
24.5,7.76,6.4,744,4,321.25,52.21,149.15,0.93,0.61,0.62,3.89,8.41,71.47,0.3,22.74,32.16,7.04,0.98,13,495,0.1,0.1,0.7534,114,0.3804,5e-04,0.05,0.05,770,0.05,5e-04,0.1,0.0025,71.51,0.02,1500,1500,36.1,,,508,9.64,0,2011-03-01,"2011","3","RS-RS-010"
26.4,7.43,0,1672,36,596.9,148.93,293.16,1.27,0.29,0.022,33.41,48.64,116.34,13.1,234.5,412.52,5.04,7.22,148,1042,0.2,29.41,0.8389,8400,721,5e-04,0.05,0.05,0.314,0.254,1370,0.1,3400,128.2,0.02,2100000,1500000,33,,,1190,48.93,1,2011-03-01,"2011","3","AA-0RS-01"
23.3,7.6,0,1569,120,666.71,104.71,266.26,0.2,0.26,0.022,32.61,43.18,87,16.3,114.6,203.9,14.03,8.51,61.82,1040,0.1,34.93,1.0229,8200,672,5e-04,0.05,0.05,0.338,0.317,56000,0.1,7500,132.52,0.02,240000,240000,32.1,,,1101.82,43.44,1,2011-03-01,"2011","3","AA-0RS-02"
22.5,7.9,0.23,840,29,321.23,48.52,219.18,1.08,0.14,0.022,0.5,2.1,74.32,0.33,5.62,39.44,8.37,0.92,35,185,0.1,0.99,0.7533,167,0.1207,5e-04,0.05,0.05,0.641,740,5e-04,0.1,0.0025,65.75,0.02,150000,150000,23.7,,,220,2.24,1,2011-03-01,"2011","3","RZ-0RS-01"
24.1,8.58,5.22,873,65,312.79,51.38,222.55,1.16,0.21,0.022,1.85,2.23,84.54,0.019,1.26,41.96,8.37,0.81,774,588,0.1,0.39,4.7995,115,165,5e-04,0.05,0.05,1.209,560,1290,0.1,4300,87.62,320,9300,9300,25.1,,,1362,2.44,0,2011-04-05,"2011","4","RS-01"
22,7.32,1.7,917.6,4.9,327.92,56.98,224.72,1.12,0.13,0.022,2.54,2.91,79.02,0.174,1.26,28.06,8.37,1.12,15,613,0.1,3.55,715,8200,254,5e-04,0.05,0.05,0.113,0.139,95000,0.1,0.0025,94.34,230,4300,4300,27.5,,,628,3.04,0,2011-04-05,"2011","4","RS-02"
22.3,7.39,2.3,1096,4.3,343.06,78.1,244.31,1.28,0.2,0.022,1.85,2.1,125.58,0.2,1.26,42.74,8.37,1.29,31,738,0.1,1.97,996,9100,168,5e-04,0.05,0.05,0.131,0.143,5e-04,0.1,0.0025,124.74,230,930,930,31,,,769,2.3,1,2011-04-05,"2011","4","RS-03"
22.2,7.53,3.54,1111,4.6,368.28,74.57,246.88,1.17,0.17,0.022,4.21,6.06,116.82,1.2,6.02,48.92,8.37,2.13,13,723,0.1,1.97,0.1588,8800,242,5e-04,0.05,0.05,0.113,0.172,5e-04,0.1,0.0025,123.44,320,210000,210000,31.1,,,736,6.23,0,2011-04-05,"2011","4","RS-04"
23,7.81,3,1100,4.3,353.15,78.3,242.33,1.29,0.47,0.43,4.45,5.38,118.75,0.29,12.67,67.21,8.37,2.11,20,746,0.1,1.38,0.2408,7800,237,5e-04,0.05,0.05,0.104,0.117,5e-04,0.1,4500,122.26,380,75000,43000,33.8,,,766,6.28,0,2011-04-05,"2011","4","RS-05"
23.4,8.42,8.4,1118,8.4,353.15,80.97,249.43,1.16,2.2,0.32,1.98,5.35,120.28,0.24,13.27,57.46,8.37,2.11,2,779,0.1,0.99,0.1769,7600,162,5e-04,0.05,0.05,0.237,0.133,5e-04,0.1,0.0025,126.86,320,2400,2400,33.2,,,781,7.87,0,2011-04-05,"2011","4","RS-06"
23.1,7.64,0.14,1417,110,414.05,121.7,212.85,1.45,0.5,0.022,25.75,43.34,92.08,4.7,229.5,514.4,35.35,9.8,237.5,744.5,0.1,8.29,1.7058,3200,130,106.7,0.05,820,0.552,0.104,1380,0.101,7900,159.62,0.21,240000,240000,23.9,,,982,43.84,1,2011-04-05,"2011","4","RS-07"
25.7,7.79,2.24,1287,50,413.69,100.93,222.94,1.13,0.25,0.022,15.9,28.74,116.98,1.75,55.44,227.84,6.38,6.31,93,791,0.4,3.35,1.9342,9400,117,2750,0.05,0.05,0.891,0.204,1030,0.1,5000,143.71,0.127,240000,240000,34.4,,,884,28.99,1,2011-04-05,"2011","4","RS-08"
23.8,7.67,3.99,951,50,322.88,64.56,178.43,1.17,0.2,0.02,10.08,18.47,68.78,0.8,20.7,87.87,8.37,4.47,16,573,0.1,2.56,0.2221,4700,164,5e-04,0.05,0.05,0.104,0.297,5e-04,0.1,0.0025,99.76,290,930,930,37.4,,,589,18.69,0,2011-04-05,"2011","4","RS-09"
26.6,8.18,9.33,863,6.4,267.38,60.11,167.75,1.18,2.8,0.84,4.45,11.48,72.98,0.186,9.78,38.1,8.37,4.2,38,536,0.1,1.58,1.7184,5900,124,5e-04,0.05,0.05,950,860,5e-04,0.1,0.0025,93.04,210,43000,23000,37.4,,,574,15.12,0,2011-04-05,"2011","4","RS-RS-010"
27.4,7.4,0.04,1576,75,590.26,114.05,272.59,1.43,0.26,0.022,22.89,44.15,77.81,13.16,260.5,490.23,24.74,10.77,317,776,0.2,38.09,2.0434,6600,139,5e-04,0.05,0.05,0.603,0.262,1510,0.1,5100,160.91,0.129,1500000,1500000,35.3,,,1093,44.41,1,2011-04-05,"2011","4","AA-0RS-01"
24.1,8.01,0.01,1978,110,106.3,178.77,297.49,1.89,0.25,0.022,23.57,45.2,123.02,12.74,74.5,218.48,8.37,11.93,63,1196,0.1,22.56,1.2294,7300,133,5e-04,0.05,0.05,0.301,0.465,5e-04,0.1,0.0025,200.9,430,930000,930000,31.3,,,1259,45.45,1,2011-04-05,"2011","4","AA-0RS-02"
23.8,8.12,1.84,885,40,317.83,51.86,211.25,1.2,0.17,0.022,1.79,4.11,86.06,0.019,1.26,43.51,8.37,0.83,45,598,0.1,2.17,2.3274,1400,138,5e-04,0.05,0.05,1.404,0.05,5e-04,0.1,0.0025,92.22,860,43000,43000,22.2,,,643,4.28,0,2011-04-05,"2011","4","RZ-0RS-01"
25.5,7.82,0.58,917.6,30,348.1,53.65,229.27,0.99,0.25,0.01,1.67,4.08,78.86,0.43,6.7,56.68,8.37,1.98,40,604,0.1,3.75,1.906,140,124,5e-04,0.05,0.05,0.937,850,5e-04,0.1,4200,90.45,380,1100000,9000,32,,,644,7.3,1,2011-05-03,"2011","5","RS-01"
22.6,7.22,0.73,987,11,373.33,68.1,239.36,0.95,0.23,0.022,1.67,3.96,86.49,0.32,7.72,37.9,8.37,1.18,30,626,0.1,5.72,0.6024,131,0.181,5e-04,0.05,0.05,0.154,0.11,5e-04,0.1,0.0025,107.53,700,24000,9300,34.3,,,656,3.698,1,2011-05-03,"2011","5","RS-02"
24.1,7.33,0.94,1028,8.9,438.9,77.96,237.98,1.17,0.23,0.01,2.66,4.64,85.22,0.21,1.26,56.22,8.37,1.41,63,680,1.5,5.52,6.6325,107,0.143,5e-04,0.05,0.05,0.314,0.152,5e-04,0.1,0.0025,122.62,0.02,2400,430,36.3,,,743,2.66,1,2011-05-03,"2011","5","RS-03"
24.3,7.7,0,1170,55,438.9,83.32,259.34,1.27,0.28,0.24,6.9,13.12,75.22,3.24,17.06,78.91,8.37,3.99,22,758,0.1,0.79,2.2622,124,143,5e-04,0.05,0.05,0.173,0.204,5e-04,0.1,0.0025,136.76,0.02,1100000,210000,35.1,,,780,23.674,1,2011-05-03,"2011","5","RS-04"
23.8,7.8,1.03,1176,130,423.78,83.56,252.02,1.25,0.53,0.11,6.68,13.3,87.41,0.91,25.26,94.11,8.37,4.56,424,746,5.4,3.16,9.4219,130,123,5e-04,0.05,0.05,2.227,0.3,5e-04,0.1,2900,130.16,540,93000,43000,34.6,,,1170,12.31,1,2011-05-03,"2011","5","RS-05"
25.7,8.43,5.77,1174,8.9,423.78,83.75,254.4,1.33,0.49,0.59,3.71,10.64,89.62,0.81,13.86,56.68,8.37,4.43,31,771,0.1,0.1,3.2521,113,135,5e-04,0.05,0.05,0.25,0.178,5e-04,0.1,0.0025,143.36,320,93000,43000,33.4,,,802,19.033,1,2011-05-03,"2011","5","RS-06"
22.5,7.12,0,848,160,237.11,62.84,185.36,1.12,0.43,0.022,15.1,28.9,104.1,11.85,150,462.55,41.53,4.18,285,608,1.2,3.95,1.4006,9200,237,112.4,790,0.05,2.334,0.237,2720,0.1,115,69,0.296,1.1e+07,4600000,25.5,,,893,27.53,1,2011-05-03,"2011","5","RS-07"
25.5,7.58,0,1124,500,373.33,76.24,250.64,1.56,0.71,0.022,23.7,46.59,95.25,10.92,295.5,733.51,64.04,11.4,110,1974,10.3,6.71,6.1199,164,231,121.5,0.224,0.101,6.077,0.478,3760,0.1,208,106.63,0.736,4600000,2400000,32,,,2084,23.846,1,2011-05-03,"2011","5","RS-08"
25.7,7.58,2.93,1143,33,383.42,82.07,202.76,1.31,0.19,0.022,12.75,23.58,89.56,0.44,21.9,113.99,8.37,4.82,17,690,0.1,1.97,909,125,252,5e-04,0.05,0.05,0.21,0.359,5e-04,0.1,0.0025,109.38,290,930,430,35.3,,,707,8.17,0,2011-05-03,"2011","5","RS-09"
28,8.02,5.63,1056,9.2,317.83,79.83,195.64,1.33,4.22,1.164,4.83,12.5,93.88,0.21,14.46,69.55,5.61,4.2,13,686,0.1,0.1,391,143,225,5e-04,0.05,0.05,850,790,5e-04,0.1,0.0025,105.59,610,9300,4300,33,,,699,7.011,0,2011-05-03,"2011","5","RS-RS-010"
23.1,7.52,0,1541,130,544.86,112.27,258.95,1.72,1.47,132,26.79,53.71,88.8,21.1,268.5,519.47,29.67,10.19,174,981,0.7,6.12,6.5723,104,124,5e-04,0.05,560,1.152,0.21,5e-04,0.1,3400,161.03,0.151,1.1e+07,930000,26.2,,,1155,57.511,1,2011-05-03,"2011","5","AA-0RS-01"
25.8,7.67,0,1565,80,630.62,106.91,277.74,1.57,0.66,108,22.03,42.51,67.28,12.15,117.33,264.49,5.87,9.21,58,1015,0.2,2.17,5.0239,106,122,5e-04,0.08,0.05,0.712,0.368,5e-04,0.1,0.0025,166.59,540,2100000,40000,33.2,,,1073,44.53,1,2011-05-03,"2011","5","AA-0RS-02"
24.8,7.66,2.57,927,15,338.01,53.55,257.96,1.09,0.25,0.022,2.78,4.52,76.14,0.51,5.38,40.19,8.37,1.16,20,624,0.1,1.78,1.8137,194,160,5e-04,0.05,0.05,0.548,620,5e-04,0.1,0.0025,97.99,0.02,930000,230000,29.4,,,644,7.4,1,2011-05-03,"2011","5","RZ-0RS-01"
24.5,6.96,0.8,523,47,247.23,18.89,181.17,0.27,0.1,0.022,1.55,7.3,28.97,1.52,36,105.03,8.37,1.88,22,398,0.1,16.51,0.1224,4600,930,70000,0.05,0.05,0.349,0.264,5e-04,0.1,0.0025,44.19,530,2400000,1100000,28.6,,,420,4.34,1,2011-06-21,"2011","6","RS-01"
22.8,7.16,0,1084,8.1,425.61,33.22,304.92,1.06,0.1,480,0.37,3.65,100.88,0.18,1.26,80.85,3.7,2.58,7,777,0.1,4.14,0.1155,9500,0.1895,75000,0.05,0.05,0.114,0.172,5e-04,0.1,0.0025,114.58,310,23000,9300,26.6,,,784,4.19,0,2011-06-21,"2011","6","RS-02"
23,7.05,0.46,1061,24,355.27,76.69,259.38,0.98,0.1,0.022,0.5,2.66,126.34,0.18,6,92.55,11.83,2.72,12,796,0.1,7.3,0.244,9300,0.1558,75000,0.05,0.05,0.17,0.257,5e-04,0.1,0.0025,126.27,0.02,15000,15000,27.2,,,808,4.88,1,2011-06-21,"2011","6","RS-03"
25.3,7.82,1.6,1319,30,529.13,94.39,295.61,1.36,0.1,0.022,12.37,23.674,91.78,4.48,49.2,174.82,8.26,5.43,72,905,0.1,0.59,501,8000,0.1323,70000,0.05,0.05,760,0.33,5e-04,0.1,5800,146.14,290,460000,460000,26.2,,,977,13.64,1,2011-06-21,"2011","6","RS-04"
24.9,7.6,1.66,1297,48,517.07,106.91,289.48,1.3,3.87,0.83,1.73,7.61,91.75,3.7,16.43,144.8,5.93,6.24,62,903,0.3,2.76,0.4774,5700,0.1537,90000,0.05,0.05,1.059,0.379,5e-04,0.1,3300,143.8,410,460000,240000,23.8,,,965,13.94,1,2011-06-21,"2011","6","RS-05"
24.8,8.08,3.9,1217,14,447.22,108.49,328.48,1.21,3.15,0.843,8.29,15.04,95.52,0.27,27.66,113.99,4.23,5.93,26,876,0.1,0.1,0.1686,7300,0.1323,80000,0.05,0.05,0.147,0.169,5e-04,0.1,0.0025,138.31,0.122,1100000,1100000,25.8,,,902,11.72,0,2011-06-21,"2011","6","RS-06"
25.7,7.65,0,1169,44,396.97,91.29,249.48,1.55,0.37,0.022,13.43,27.16,97.06,7.31,102.38,190.41,12.8,6.15,71,744,0.1,1.58,0.5485,119,0.1485,213,0.05,0.05,0.589,0.135,1280,0.1,4300,137.51,0.201,4600000,4600000,24.9,,,815,29.33,1,2011-06-21,"2011","6","RS-07"
27.1,7.88,1.19,1322,65,491.44,96.1,263.93,1.5,1.67,860,9.65,22.09,94.64,0.46,40.8,160.39,13.37,6.49,157,821,2,0.79,0.3258,163,0.1829,120.9,0.05,0.05,1.111,0.22,1310,0.1,5000,148.38,0.235,1100000,1100000,29.1,,,978,47.3,1,2011-06-21,"2011","6","RS-08"
27.5,7.35,1.78,1295,19,462.8,96.74,257,1.37,0.1,0.022,1.73,8.17,77.35,1.93,11.91,67.21,8.37,5.48,21,804,0.1,0.39,0.3595,113,0.2124,59000,0.05,0.05,0.537,0.632,5e-04,0.1,0.0025,140.65,0.241,9300,9300,26.1,,,825,23.77,0,2011-06-21,"2011","6","RS-09"
28.9,7.89,6.5,1086,7.2,405.52,91.98,243.14,1.34,0.97,0.901,0.93,5.14,80.03,0.13,16.35,46.96,8.37,4.83,18,790,0.1,0.1,0.1533,152,0.1671,5e-04,0.05,0.05,0.123,0.647,5e-04,0.1,0.0025,137.86,760,9300,930,28.3,,,808,17.884,0,2011-06-21,"2011","6","RS-RS-010"
25.3,7.27,0,1383,60,567.82,102.56,284.92,1.21,3.89,210,32.24,53.6,78.99,10.46,276,532.72,25.71,8.91,100,982,0.5,37.89,0.9082,6700,0.1348,95000,0.05,0.05,0.787,0.303,1050,0.1,2700,143.44,0.112,24000,1.1e+07,24.8,,,1082,55.1932,1,2011-06-21,"2011","6","AA-0RS-01"
23.9,7.79,0.28,1442,85,646.21,108.06,283.54,1.4,0.53,0.022,24.94,44,56.16,11.05,121.81,259.81,10.4,10.26,60,965,0.1,29.45,0.2651,5600,0.1004,86000,0.05,0.05,0.269,0.276,5e-04,0.1,0.0025,153.42,0.102,24000,2100000,25.1,,,1025,43.1808,1,2011-06-21,"2011","6","AA-0RS-02"
25.5,6.83,0,497,47,221.1,27.35,284.58,0.27,0.35,0.022,2.66,7.05,30,1.43,116.25,117.5,8.37,1.69,29,355,0.1,11.37,0.1696,0.0025,0.1218,90000,0.05,0.05,0.354,0.218,5e-04,0.1,0.0025,41.58,0.02,24000,750000,26.5,,,384,4.77,1,2011-06-21,"2011","6","RZ-0RS-01"
23.7,6.93,0.57,413,130,124.77,23.14,126.52,0.27,0.43,0.022,4.39,9.28,31.87,0.019,21.06,94.89,8.37,1.9,116,387,0.1,6.91,4.7536,4100,0.1087,5e-04,0.05,0.05,5.467,0.42,5e-04,0.1,2600,24.39,0.02,1100000,1100000,24.7,,,57,7.3,1,2011-07-19,"2011","7","RS-01"
22.6,6.86,0.53,508,27,170.85,29.61,119.99,0.62,0.65,0.022,1.11,3.59,41.56,0.35,1.26,59.58,8.37,2.18,23,353,0.1,7.3,1.6031,7300,0.1257,5e-04,0.05,0.05,0.806,0.336,5e-04,0.1,0.0025,44.7,0.02,240000,240000,25.3,,,4,3.698,1,2011-07-19,"2011","7","RS-02"
24.3,6.9,0.34,584,140,167.33,42.68,126.52,0.57,1.11,0.022,1.67,5.44,62.4,0.019,8.4,78.52,8.48,2.05,240,384,1,2.76,3.7455,7100,0.1149,5e-04,0.05,0.05,3.409,0.261,5e-04,0.1,3900,55.78,0.02,240000,93000,29.9,,,9,2.66,1,2011-07-19,"2011","7","RS-03"
24,7.18,2.12,621,110,200.5,38.11,126.92,0.67,1.12,0.022,2.97,7.73,59.86,1.71,10.62,101.91,8.37,2.29,178,378,0.1,2.17,3.3077,6700,0.1071,5e-04,0.05,0.05,2.308,0.322,5e-04,0.1,5400,54.33,0.02,1100000,460000,31.1,,,8,23.674,1,2011-07-19,"2011","7","RS-04"
24.8,7.55,2.45,652,80,220.6,43.74,132.26,0.78,0.74,0.26,3.03,8.29,44.8,0.85,8.85,57.07,3.9,2.95,99,422,0.1,0.99,1.9958,5900,828,5e-04,0.05,0.05,1.086,0.317,5e-04,0.1,5200,56.07,0.02,240000,240000,30.5,,,7,12.31,1,2011-07-19,"2011","7","RS-05"
