"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Profundidad","Temp. ambiente","Transparencia Secchi","Sólidos totales","Nitrógeno total","Clorofilas","Materia flotante","fecha","est_fijas","año","mes","est"
24,8.1,0.43,869,18,353.41,71.06,125.05,0.7,0.1,110,3.44,9.14,10,0.32,14.43,108.16,16.02,2.03,26,587,0.1,1.68,0.125,0.0025,0.226,63000,0.05,0.05,0.196,0.09,5e-04,0.1,5000,119,0.02,46000,46000,,22,,613,9.15,58.69,,2022-09-19,TRUE,"2022","9","LC-01"
24,8.6,1.14,864,28,363.95,73.57,125.05,0.82,0.1,0.01,1.05,6.75,10,0.26,9.54,111.822,8.3,1.57,35,597,0.1,1.58,1.13,0.0025,0.148,65000,0.05,0.05,820,640,5e-04,0.1,8400,124,0.02,15000,15000,,20,,632,6.75,145.26,,2022-09-19,TRUE,"2022","9","LC-02"
23,8.5,2.14,895,22,362.44,72.8,123.67,0.72,0.1,0.01,0.5,6.35,10,0.27,10.26,101.514,5.17,1.66,25,596,0.1,1.39,1.005,0.0025,0.198,5e-04,0.05,0.05,590,720,5e-04,0.1,5100,124.7,0.02,24000,24000,,20,,621,6.35,81.07,,2022-09-19,TRUE,"2022","9","LC-03"
24,8.4,0.53,872,19,346.88,72.9,124.66,0.76,0.1,0.01,0.81,6.46,10,0.11,11.61,96.537,5.26,1.6,26,598,0.1,1.33,2.025,0.0025,0.14,5e-04,0.05,0.05,520,690,5e-04,0.1,5500,124.9,0.02,4300,4300,,22,,624,6.46,76,,2022-09-19,TRUE,"2022","9","LC-04"
23,8.5,1.81,865,24,356.42,72.75,120.31,0.85,0.1,0.01,0.5,7.16,10,0.12,10.35,101.211,7.64,1.57,28,589,0.1,1.35,472,0.0025,850,5e-04,0.05,0.05,860,740,5e-04,0.1,5100,125.1,0.02,1500,1500,,21,,617,7.16,96.22,,2022-09-19,TRUE,"2022","9","LC-05"
25,8.7,7.1,860,30,340.16,73.96,129.81,0.76,0.1,0.438,1.26,10.43,10,0.54,46.08,106.786,18.92,2.01,30,596,0.1,0.8,0.505,0.0025,0.148,5e-04,0.05,0.05,0.109,710,5e-04,0.1,7400,121,0.02,46000,46000,,20,,626,10.97,334.02,,2022-10-10,TRUE,"2022","10","LC-01"
23,8.9,7.44,876,26,341.66,77.19,129.21,0.76,0.11,2.105,0.6,6.83,10,0.62,16.5,87.715,5.14,1.67,25,605,0.1,0.1,0.515,0.0025,0.143,55000,0.05,0.05,740,620,5e-04,0.1,6500,124.9,0.02,460,460,,22,,630,9.04,106.1,,2022-10-10,TRUE,"2022","10","LC-02"
24,8.9,8,880,38,357.64,77.28,129.21,0.73,0.1,1.392,0.96,7.25,10,0.64,47.4,100.353,5.14,1.85,43,578,0.1,0.1,0.675,0.0025,0.115,61000,0.05,0.05,610,640,5e-04,0.1,7700,126.3,0.02,460,460,,25,,621,8.74,154.22,,2022-10-10,TRUE,"2022","10","LC-03"
24,8.8,8.93,873,25,356.64,76.8,130.61,0.91,0.1,1.573,0.78,6.17,10,0.11,20.19,92.069,5.82,1.69,32,587,0.1,0.1,0.7,0.0025,990,60000,0.05,0.05,0.09,660,5e-04,0.1,7200,125.1,0.02,4600,4600,,21,,619,7.74,181,,2022-10-10,TRUE,"2022","10","LC-04"
24,8.8,7.92,871,28,343.16,74.63,127.62,0.77,0.15,1.663,0.54,6.89,10,0.12,17.85,85.404,19.85,1.47,25,585,0.1,0.1,0.505,0.0025,0.104,62000,0.05,0.05,610,660,5e-04,0.1,7900,125.7,0.02,240,240,,26,,610,8.7,131.51,,2022-10-10,TRUE,"2022","10","LC-05"
